count,mean,std,min,25%,50%,75%,max
2.0,2336.5,393.85847712090697,2058.0,2197.25,2336.5,2475.75,2615.0
1.0,1607.0,,1607.0,1607.0,1607.0,1607.0,1607.0
2.0,1001.0,421.4356415871823,703.0,852.0,1001.0,1150.0,1299.0
5.0,4371.8,1994.6196880608593,2118.0,2619.0,4541.0,5860.0,6721.0
4.0,2381.75,582.5806811077758,2044.0,2069.5,2115.0,2427.25,3253.0
5.0,3452.0,1856.3188034386767,2329.0,2456.0,2814.0,2917.0,6744.0
2.0,2295.0,356.38181771801993,2043.0,2169.0,2295.0,2421.0,2547.0
2.0,9290.0,6188.598548944664,4914.0,7102.0,9290.0,11478.0,13666.0
4.0,3746.0,3412.753824503998,1142.0,1985.0,2542.5,4303.5,8757.0
1.0,4070.0,,4070.0,4070.0,4070.0,4070.0,4070.0
1.0,820.0,,820.0,820.0,820.0,820.0,820.0
1.0,2424.0,,2424.0,2424.0,2424.0,2424.0,2424.0
5.0,1807.2,2179.177987223623,447.0,464.0,551.0,2066.0,5508.0
5.0,4144.6,3978.7005165003307,1230.0,1376.0,2496.0,4847.0,10774.0
5.0,4029.6,1961.3675841106378,1291.0,2871.0,4757.0,4910.0,6319.0
3.0,3769.6666666666665,3630.5466989605484,407.0,1845.0,3283.0,5451.0,7619.0
2.0,6931.0,8639.430652537238,822.0,3876.5,6931.0,9985.5,13040.0
3.0,2895.0,526.9791267213532,2294.0,2703.5,3113.0,3195.5,3278.0
11.0,3576.909090909091,2360.2790705569314,531.0,1807.0,2926.0,5485.0,7253.0
11.0,7362.545454545455,2079.478942602515,3544.0,6470.0,7953.0,9015.5,9653.0
11.0,4227.909090909091,2704.3894858006474,707.0,2301.0,3406.0,6943.5,8317.0
4.0,3419.75,2066.4270896082126,533.0,2719.25,3927.5,4628.0,5291.0
4.0,3554.0,2554.1061058616965,1367.0,1517.75,3087.5,5123.75,6674.0
4.0,3745.5,1954.198471667263,1746.0,2868.0,3406.0,4283.5,6424.0
4.0,3346.0,933.724798856708,2371.0,2635.75,3415.5,4125.75,4182.0
4.0,6241.5,3291.382333711273,2351.0,4664.75,6169.5,7746.25,10276.0
4.0,5196.25,2568.453149919876,2534.0,3310.25,5128.0,7014.0,7995.0
2.0,2878.5,1024.5977259393073,2154.0,2516.25,2878.5,3240.75,3603.0
2.0,2655.0,2350.422940664084,993.0,1824.0,2655.0,3486.0,4317.0
2.0,2647.5,751.6545084013001,2116.0,2381.75,2647.5,2913.25,3179.0
7.0,3759.8571428571427,2771.820125751996,463.0,1207.5,4255.0,6219.5,6747.0
5.0,5161.0,2620.933898441546,2099.0,2745.0,6022.0,6812.0,8127.0
7.0,4317.0,1859.581314884258,1823.0,2992.5,4036.0,5821.0,6733.0
7.0,2922.0,1809.8384826644983,494.0,2271.5,2429.0,3274.0,6440.0
7.0,5705.285714285715,4456.525766195222,1849.0,2138.5,3118.0,9101.5,12490.0
7.0,3634.4285714285716,3243.8354796517683,1211.0,1938.0,2601.0,3535.5,10682.0
9.0,4706.666666666667,2939.1687600408377,537.0,3714.0,4386.0,5025.0,11675.0
9.0,6085.333333333333,3071.2942711501937,2629.0,3599.0,4702.0,8294.0,11427.0
9.0,3855.5555555555557,1963.640758330754,1511.0,2154.0,4016.0,4456.0,7732.0
3.0,4389.333333333333,1008.7959820168463,3340.0,3908.0,4476.0,4914.0,5352.0
2.0,4486.5,2376.5858915679864,2806.0,3646.25,4486.5,5326.75,6167.0
3.0,4335.666666666667,4142.6968671788345,1081.0,2004.0,2927.0,5963.0,8999.0
2.0,3258.5,3855.8532778102435,532.0,1895.25,3258.5,4621.75,5985.0
4.0,8110.5,8086.450745949465,608.0,3889.25,6171.0,10392.25,19492.0
3.0,5011.666666666667,1711.5450135282254,3676.0,4047.0,4418.0,5679.5,6941.0
2.0,478.0,18.384776310850235,465.0,471.5,478.0,484.5,491.0
