News Source,Media Bias Rating
AARP,Center
ABC News,Lean Left
Accuracy in Media,Right
ACLU,Lean Left
Al Cardenas,Right
Al Jazeera,Center
Alison Lundergan Grimes,Left
AllSides,Mixed
AllSides Community,Mixed
Allysia Finley (Wall Street Journal),Right
AlterNet,Left
American Association of Retired Persons,Lean Left
American Conservative Union,Right
American Enterprise Institute,Lean Right
American Spectator,Right
American Thinker,Right
Americans for Democratic Action,Left
Americans for Tax Reform,Right
Amnesty International,Center
Andrew Napolitano,Right
Ann Coulter,Right
Annafi Wahed,Lean Left
AP,Center
Aquinas College Saint,Left
Arkadi Gerney,Lean Left
Arkansas Democrat-Gazette,Left
Associated Press,Center
Association for Psychological Science,Center
Atlanta Journal-Constitution,Lean Left
Atlas Network,Right
AtlasOne,Lean Right
Austin American-Statesman,Lean Left
Axios,Center
Ballotpedia,Center
Barack Obama,Lean Left
Barnstable Patriot,Center
BBC News,Center
Bearing Drift,Right
Ben Sargent (cartoonist),Left
Ben Shapiro,Right
Ben Stein,Lean Right
Beth Ballentine,Center
Bill Cassidy,Right
Billy Binion,Center
Bloomberg,Center
Blue Virginia,Left
Bob Gorrell (cartoonist),Right
Boing Boing,Left
Boston Herald,Lean Right
Bowling Green Daily News,Lean Left
Breitbart News,Right
Brent Bozell,Right
Bret Stephens,Lean Right
Brookings Institution,Center
Bruce Braley,Left
Business Insider,Center
Bustle,Lean Left
Buzzfeed,Lean Left
C-SPAN,Center
CalMatters,Center
CalWatchdog,Center
Care 2,Left
Carnegie Endowment for International Peace,Center
Carrie Lukas,Right
Cato Institute (blog),Lean Right
CBN,Right
CBS News,Lean Left
Center - Major Media Sources,Center
Center For American Progress,Lean Left
Center for Defense Information,Lean Left
Center for Media & Democracy PR Watch,Lean Left
Center for Public Integrity,Lean Left
Center for Responsive Politics,Lean Left
Center for Strategic and Budgetary Assessments,Lean Right
Center for Strategic and International Studies,Center
Center on Budget and Policy Priorities,Left
Centre View,Lean Left
Chan Lowe (cartoonist),Left
Charles Blow,Lean Left
Charles Krauthammer,Lean Right
Chicago Booth Initiative on Global Markets,Mixed
Chicago Sun-Times,Lean Left
Chicago Tribune,Center
Children's Defense Fund,Left
Chip Bok (cartoonist),Right
Chris Britt (cartoonist),Center
Chris Ruddy,Right
Christian Coalition,Lean Right
Christian Science Monitor,Center
Christiane Amanpour,Lean Left
Chuck Asay (cartoonist),Right
Citizens Against Government Waste,Lean Right
Citizens for Tax Justice,Left
City Journal,Right
CivilPolitics.org,Center
Clay Bennett (cartoonist),Left
CNBC,Center
CNN (Web News),Lean Left
CNN - Editorial,Left
CNS News,Right
CNSNews.com,Right
Commentary Magazine,Right
Common Cause,Lean Left
Conservative HQ,Right
Consumer Federation of America,Left
Cook Report,Center
Cory Garden,Right
Council on Foreign Relations,Lean Left
Council on Foreign Relations,Left
Counter Currents,Lean Left
Counter Pointing,Mixed
Counterpointing,Mixed
CrowdPAC,Center
CU Independent,Center
Daily Beast,Left
Daily Cardinal,Center
Daily Kos,Left
Daily Mail,Right
Daily Northwestern,Lean Left
Daily Press,Lean Right
Daily Progress,Center
Daily Targum,Lean Left
Damon Linker,Lean Left
Dan Lucas,Right
Dan Sullivan`,Right
Dan Wasserman (cartoonist),Left
Dana Milbank,Center
Dana Summers (cartoonist),Lean Right
David Brooks,Lean Right
David Holmes,Lean Left
David Ignatius,Center
David Leonhardt,Lean Left
David Perdue,Right
Debra Saunders,Right
Defense One,Center
Democracy Now,Left
Democratic Elected Official,Left
Democratic Party,Lean Left
Deseret News,Lean Right
Dick Locher (cartoonist),Right
Dick Morris,Lean Right
Diplomatic Courier,Center
Donald Trump,Right
Drew Litton (cartoonist),Center
Drew Sheneman (cartoonist),Left
Drudge Report,Right
Duf Sundheim,Lean Right
Duke Chronicle,Center
E J Dionne,Left
Economic Policy Institute,Left
Economic Policy Institute,Left
Economic Strategy Institute,Lean Left
Ed Rogers,Right
EdVotes.org,Left
Edward Morrissey,Right
Electronic Privacy Information Center,Center
Elizabeth Warren,Left
Employee Benefit Research Institute,Center
Environmental Defense Fund,Lean Left
Eric Allie (cartoonist),Right
Erik Wemple,Center
Esquire,Left
Estes Park Trail Gazette,Center
Eugene Robinson,Left
Eurek Alert,Center
Ezra Klein,Left
Face the Facts USA,Center
Fact Checker Blog,Center
FactCheck.org,Center
FAIR,Lean Left
Fair.org,Center
Falls Church News - Press,Left
Family Research Council,Lean Right
Fareed Zakaria,Center
Federation of American Scientists,Lean Left
Financial Times,Center
Fiscal Times,Lean Right
FiveThirtyEight,Center
Food Democracy Now,Lean Left
Forbes,Center
Foreign Affairs,Center
Fox News,Lean Right
Fox News Editorial,Right
Fox News Latino,Right
Frank Bruni,Lean Left
Frank Miniter,Right
Freakonomics,Center
Freedom House,Lean Right
Froma Harrop,Lean Left
FrontPage Magazine,Right
Funny News,Right
Gallup,Center
Gary Markstein (cartoonist),Center
Gary Peters,Left
Gary Varvel (cartoonist),Right
George Will,Right
Glenn Beck,Right
Glenn McCoy (cartoonist),Right
GOP.gov,Right
Grist,Lean Left
Grover Norquist,Right
Guest Writer - Left,Lean Left
Guest Writer - Right,Lean Right
Hampton Roads Messanger,Center
"Handgun Control, Inc.",Lean Left
Harvard Business School,Lean Left
Healthcare.gov,Lean Left
Heather Mac Donald,Right
Henry Payne (cartoonist),Right
Herald Democrat,Left
Hillary Clinton,Left
Honolulu Civil Beat,Center
Hoover Institution,Lean Right
HotAir,Lean Right
How Do We Fix It?,Center
Howard Kurtz,Center
Hudson Institute,Lean Right
HuffPost,Left
Inacow,Right
Independent Institute,Lean Right
Independent Journal Review,Lean Right
Indiana Daily Student,Center
Indy Online,Center
Indy Week,Lean Left
InfoWars,Right
Inside Philanthropy,Center
Institute for International Economics,Center
Intellectual Conservative,Lean Right
International Business Times,Center
International Institute for Strategic Studies,Center
Investor's Business Daily,Lean Right
IVN,Center
Jack Ohman (cartoonist),Left
Jack Welch,Lean Right
James Hohmann,Lean Right
James Pethokoukis,Lean Right
James Poulos,Right
Jeanne Shaheen,Left
Jeff Danziger (cartoonist),Left
Jeff Jacoby,Right
Jeff Stahler (cartoonist),Left
Jen Sorensen (cartoonist),Left
Jennifer Rubin,Lean Right
Jerry Bowyer,Right
Jerry Holbert (cartoonist),Right
Jesse Jackson,Left
Jim Morin (cartoonist),Left
Jim Rutenberg,Lean Left
Joan Blades,Left
Joe Scarborough,Lean Right
Joel Pett (cartoonist),Left
John Boehner,Right
John Deering (cartoonist),Center
John Fund,Lean Right
"John Gable, AllSides Founder",Center
John K. Herr,Lean Right
John Pudner,Right
John Stossel,Lean Right
Jon Terbush,Lean Left
Jonathan Chait,Left
Jonathan Miller,Left
Joni Ernst,Right
Journalist's Resource,Center
Juan Williams,Lean Left
Judicial Watch,Lean Right
Julian Zelizer,Lean Left
Kathleen Parker,Lean Right
Kay Hagan,Left
Kay Hagan,Left
Ken Catalino (cartoonist),Right
Kevin Kallaugher (cartoonist),Center
Kimberley A. Strassel,Right
Kirsten Powers,Lean Left
KQED,Center
KSL,Right
Lalo Alcaraz (cartoonist),Left
Lanhee Chen,Right
Las Vegas Sun,Lean Left
Lauren Duca,Left
Leesburg Today,Lean Right
Left - Major Media Sources,Left
Left Guest Commentaries,Left
Leonard Pitts Jr,Left
Lifehacker,Center
Lisa Benson (cartoonist),Right
Lisa Gable,Right
Listen First Project,Mixed
Live Action News,Lean Right
Living Room Conversations,Mixed
Longmont Times-Call,Lean Left
Los Angeles Times,Lean Left
Louisville Courier-Journal,Lean Left
Manhattan Institute,Lean Right
Marc A. Thiessen,Right
Mark Begich,Left
Mark Begich,Left
Mark Gerzon,Center
Mark Mix,Right
Mark Morford,Left
Mark Prior,Left
Mark Udall,Left
Marshall Ramsey (cartoonist),Center
Mary Landrieu,Left
Mary O'Grady,Right
Mashable,Left
Matt Bors (cartoonist),Left
Matt Davies (cartoonist),Left
Matt Drudge,Right
Matt Towery,Lean Right
Matt Welch,Lean Right
Matt Wuerker (cartoonist),Left
Maureen Dowd,Center
Media Matters,Left
Media Research Center,Right
Mediaite,Lean Left
Miami Herald,Lean Left
Michael Barone,Lean Right
Michael Brendan Dougherty,Lean Right
Michael Gerson,Lean Right
Michael Kinsley,Left
Michael Medved,Right
Michael Ramirez (cartoonist),Right
Michele Nunn,Left
Michelle Malkin,Right
MichelleMalkin.com,Right
Michigan Daily,Lean Left
Mike Lester (cartoonist),Right
Mike Luckovich (cartoonist),Left
Mike Thompson (cartoonist),Center
Mismatch.org,Mixed
MIT News,Center
Mitch McConnell,Right
Mitt Romney,Lean Right
Morgan Jacobsen,Center
Mother Jones,Left
MSNBC,Left
NAACP,Lean Left
Natalie Tennant,Left
National Abortion and Reproductive Rights Action League,Lean Left
National Committee to Preserve Social Security and Medicare,Left
National Federation of Independent Businesses,Lean Right
National Interest,Center
National Journal,Center
National Organization for Women,Lean Left
National Review,Right
National Rifle Association,Lean Right
National Right to Life Committee,Lean Right
National Taxpayers Union,Lean Right
NBC Today Show,Lean Left
NBCNews.com,Lean Left
New Economy Working Group,Lean Left
New Republic,Left
New York Daily News,Left
New York Magazine,Left
New York Post,Right
New York Times,Lean Left
NewsBusters,Right
Newsmax,Right
Newsweek,Lean Left
Newt Gingrich,Right
Nicholas Kristof,Left
Nick Anderson (cartoonist),Center
Nixon Center,Lean Right
NMPolitics.net,Center
No Labels,Center
NPR Editorial,Lean Left
NPR News,Center
One America News Network,Lean Right
OpenSecrets.org,Center
Orange County Register,Lean Right
Pacific Research Institute,Right
Pacific Standard,Lean Left
Pat Oliphant (cartoonist),Center
Paul Krugman,Left
Paul Ryan,Right
Paul Szep (cartoonist),Center
PBS NewsHour,Center
Peacock Panache,Left
Peggy Noonan,Right
People for the American Way,Left
People for the Ethical Treatment of Animals,Lean Left
Peter Roff,Lean Right
Pew Research,Center
Physicians for a National Health Program,Left
Piers Morgan,Lean Left
Pittsburgh Post-Gazette,Lean Right
Politico,Lean Left
PoliticusUSA,Left
PolitiFact,Lean Left
Portland Press Herald,Center
Prager University,Right
PRI (Public Radio International),Center
ProCon.org,Mixed
Progressive Voices of Iowa,Left
ProPublica,Center
PXW News,Center
Quartz,Center
Quinnipiac University,Center
Rachel Eckhardt,Lean Left
Ralph Benko,Right
Ramesh Ponnuru,Right
RAND Corporation,Lean Left
Rand Paul,Lean Right
Rasmussen Reports,Center
Raw Story,Left
RealClearPolitics,Center
Reason,Lean Right
Reason Foundation,Lean Right
Record Journal,Center
Red State,Right
RedBlueDictionary.org,Mixed
redefinED,Center
Rem Reider,Center
Republican Elected Official,Right
Republican Party,Lean Right
Reuters,Center
Rich Lowry,Right
Rich Tafel,Center
Rich Zeoli,Lean Right
Richard A. Lowry,Right
Richard M. Cohen,Lean Left
Richmond Times Dispatch,Lean Right
Rick Ungar,Lean Left
Right - Major Media Sources,Right
Right Guest Commentaries,Right
Right Side News,Right
Right Wing News,Right
Rob Maness,Right
Rob Rogers (cartoonist),Left
Robert Ariail (cartoonist),Center
Robert Samuelson,Center
RollingStone.com,Left
Ross Douthat,Lean Right
Ruth Marcus,Lean Left
Ryan Cooper,Left
Ryan Cooper,Left
Sally Pipes,Right
Salon,Left
San Francisco Chronicle,Left
San Jose Mercury News,Lean Left
Saturday Evening Post,Center
SBG,Center
Science Daily,Center
Scientific American,Center
Scott Brown,Right
Scott Stantis (cartoonist),Right
Sean Haugh,Center
